task,episode,seed,reward,num_actions,total_tokens,num_api_calls,error
click-checkboxes-transfer,0,42,1.0,1,4546,3,
click-checkboxes-transfer,1,43,1.0,3,7267,5,
click-checkboxes-transfer,2,44,1.0,4,10496,6,
multi-orderings,0,42,1.0,5,17593,13,
multi-orderings,1,43,1.0,4,16402,12,
multi-orderings,2,44,1.0,6,20216,14,
phone-book,0,42,1.0,2,5682,4,
phone-book,1,43,1.0,2,5720,4,
phone-book,2,44,1.0,2,5825,4,
multi-layouts,0,42,1.0,4,15286,12,
multi-layouts,1,43,1.0,5,17228,13,
multi-layouts,2,44,1.0,6,20728,14,
click-tab-2,0,42,1.0,2,9892,6,
click-tab-2,1,43,1.0,1,4602,3,
click-tab-2,2,44,1.0,3,10012,7,
email-inbox-reply,0,42,1.0,4,11938,6,
email-inbox-reply,1,43,1.0,4,12135,6,
email-inbox-reply,2,44,1.0,4,12198,6,
drag-shapes-2,0,42,1.0,6,32160,18,
drag-shapes-2,1,43,1.0,7,44047,19,
drag-shapes-2,2,44,0.0,12,69085,27,Maximum planner steps reached.
drag-shapes,0,42,0.0,2,8025,5,
drag-shapes,1,43,0.0,4,25163,13,
drag-shapes,2,44,0.0,1,6232,4,
copy-paste,0,42,1.0,6,13437,9,
copy-paste,1,43,1.0,9,14660,9,
copy-paste,2,44,1.0,6,15677,10,
click-checkboxes-large,0,42,1.0,6,30189,8,
click-checkboxes-large,1,43,1.0,10,23864,6,
click-checkboxes-large,2,44,0.0,11,8698,4,"Executor failed: GraphRecursionError: Recursion limit of 21 reached without hitting a stop condition. You can increase the limit by setting the `recursion_limit` config key.
For troubleshooting, visit: https://docs.langchain.com/oss/python/langgraph/errors/GRAPH_RECURSION_LIMIT"
click-collapsible-2,0,42,1.0,3,7328,5,
click-collapsible-2,1,43,1.0,2,5149,4,
click-collapsible-2,2,44,1.0,4,10186,6,
click-widget,0,42,1.0,1,3579,3,
click-widget,1,43,1.0,1,3221,3,
click-widget,2,44,1.0,1,3268,3,
email-inbox-forward,0,42,1.0,4,11962,6,
email-inbox-forward,1,43,1.0,4,12113,6,
email-inbox-forward,2,44,1.0,4,12384,6,
search-engine,0,42,1.0,4,12668,8,
search-engine,1,43,1.0,3,11573,7,
search-engine,2,44,1.0,6,24030,10,
navigate-tree,0,42,1.0,3,9474,5,
navigate-tree,1,43,1.0,2,6102,4,
navigate-tree,2,44,1.0,2,6120,4,
