task,episode,seed,reward,num_actions,total_tokens,num_api_calls,error
buy-ticket,0,42,1.0,1,3126,2,
buy-ticket,1,43,1.0,1,4808,3,
buy-ticket,2,44,1.0,1,3111,2,
form-sequence-2,0,42,1.0,3,9201,5,
form-sequence-2,1,43,1.0,3,9142,5,
form-sequence-2,2,44,1.0,3,9320,5,
social-media-all,0,42,1.0,4,8432,2,
social-media-all,1,43,1.0,4,11474,2,
social-media-all,2,44,1.0,6,27587,3,
email-inbox-nl-turk,0,42,1.0,1,3549,2,
email-inbox-nl-turk,1,43,1.0,4,25992,7,
email-inbox-nl-turk,2,44,1.0,1,4991,2,
drag-sort-numbers,0,42,1.0,3,9619,4,
drag-sort-numbers,1,43,1.0,3,9398,4,
drag-sort-numbers,2,44,1.0,4,13043,5,
tic-tac-toe,0,42,1.0,3,7219,4,
tic-tac-toe,1,43,1.0,3,8029,4,
tic-tac-toe,2,44,1.0,4,11301,5,
book-flight,0,42,1.0,16,90072,15,
book-flight,1,43,0.0,17,0,0,"Actor failed: GraphRecursionError: Recursion limit of 31 reached without hitting a stop condition. You can increase the limit by setting the `recursion_limit` config key.
For troubleshooting, visit: https://docs.langchain.com/oss/python/langgraph/errors/GRAPH_RECURSION_LIMIT"
book-flight,2,44,1.0,16,131633,14,
click-checkboxes-soft,0,42,1.0,3,4964,3,
click-checkboxes-soft,1,43,1.0,5,8399,3,
click-checkboxes-soft,2,44,1.0,2,4360,2,
click-menu-2,0,42,1.0,2,4535,3,
click-menu-2,1,43,1.0,3,7200,4,
click-menu-2,2,44,1.0,2,4429,3,
copy-paste-2,0,42,1.0,6,14541,7,
copy-paste-2,1,43,1.0,6,14404,7,
copy-paste-2,2,44,1.0,6,14707,7,
terminal,0,42,1.0,6,19745,8,
terminal,1,43,1.0,6,20124,8,
terminal,2,44,1.0,6,9547,4,
social-media,0,42,1.0,2,9850,3,
social-media,1,43,1.0,2,12364,3,
social-media,2,44,1.0,2,14463,3,
guess-number,0,42,1.0,8,9949,5,
guess-number,1,43,1.0,2,4302,3,
guess-number,2,44,1.0,6,7190,4,
email-inbox,0,42,1.0,1,5443,3,
email-inbox,1,43,1.0,1,4556,2,
email-inbox,2,44,1.0,4,15197,5,
order-food,0,42,1.0,3,10478,3,
order-food,1,43,1.0,3,10366,3,
order-food,2,44,1.0,4,12407,3,
