task,episode,seed,reward,num_actions,total_tokens,num_api_calls,error
click-link,0,42,1.0,1,2594,2,
click-link,1,43,1.0,1,2756,2,
click-link,2,44,1.0,1,2733,2,
click-dialog,0,42,1.0,1,3303,2,
click-dialog,1,43,1.0,1,3270,2,
click-dialog,2,44,1.0,1,3281,2,
enter-password,0,42,1.0,3,3931,2,
enter-password,1,43,1.0,3,3215,2,
enter-password,2,44,1.0,3,3215,2,
drag-box,0,42,1.0,2,8175,5,
drag-box,1,43,1.0,2,5354,3,
drag-box,2,44,1.0,2,5317,3,
drag-circle,0,42,1.0,2,4174,3,
drag-circle,1,43,1.0,2,4109,3,
drag-circle,2,44,1.0,2,4112,3,
drag-single-shape,0,42,1.0,2,4283,3,
drag-single-shape,1,43,1.0,2,4143,3,
drag-single-shape,2,44,1.0,2,4128,3,
grid-coordinate,0,42,1.0,1,4034,2,
grid-coordinate,1,43,1.0,1,4054,2,
grid-coordinate,2,44,1.0,1,4057,2,
login-user,0,42,1.0,3,3136,2,
login-user,1,43,1.0,3,3170,2,
login-user,2,44,1.0,3,3111,2,
click-button,0,42,1.0,1,2614,2,
click-button,1,43,1.0,1,2754,2,
click-button,2,44,1.0,1,2634,2,
email-inbox-delete,0,42,1.0,1,5129,3,
email-inbox-delete,1,43,1.0,1,5073,3,
email-inbox-delete,2,44,1.0,1,3296,2,
text-transform,0,42,1.0,2,3453,2,
text-transform,1,43,1.0,2,4238,2,
text-transform,2,44,1.0,2,3604,2,
simple-arithmetic,0,42,1.0,2,4135,3,
simple-arithmetic,1,43,1.0,2,4138,3,
simple-arithmetic,2,44,1.0,2,4163,3,
simple-algebra,0,42,1.0,2,4316,3,
simple-algebra,1,43,1.0,2,4339,3,
simple-algebra,2,44,1.0,2,2888,2,
read-table-2,0,42,1.0,3,4525,2,
read-table-2,1,43,1.0,3,6574,3,
read-table-2,2,44,1.0,3,4398,2,
focus-text-2,0,42,1.0,1,2564,2,
focus-text-2,1,43,1.0,1,2594,2,
focus-text-2,2,44,1.0,1,2635,2,
