prediction,reference,f1,em,tokens_used,num_api_calls,error
Badr Hari,Badr Hari,1.0,1,3931,5,
Super Bowl XLVIII,Super Bowl XLVIII,1.0,1,3483,5,
"James Hetfield, Lars Ulrich, Kirk Hammett, and Robert Trujillo","Hetfield and Ulrich, longtime lead guitarist Kirk Hammett, and bassist Robert Trujillo.",0.6666666666666666,0,6470,9,
2017,2017,1.0,1,3544,5,
Nevada,Nevada,1.0,1,3517,5,
,Kelli Ward,0.0,0,1958,2,Executor failed: APITimeoutError: Request timed out.
Carol Lawrence,Carol Lawrence,1.0,1,13746,14,
New York City,New York City,1.0,1,6505,9,
Amy Jo Johnson,Amy Jo Johnson,1.0,1,3946,5,
Australia,Australia,1.0,1,3792,5,
California,California,1.0,1,3652,5,
Roman Catholic,Roman Catholic,1.0,1,7636,9,
Howard Marks,Dennis Howard Marks,0.8,0,6768,5,
Robert Sheehan,Robert Sheehan,1.0,1,5963,6,
Sex and the City,Sex and the City,1.0,1,8993,10,
England,England,1.0,1,3534,5,
Robert Zemeckis,Robert Zemeckis,1.0,1,3721,5,
South Park,South Park,1.0,1,5965,6,
Boston College,Boston College,1.0,1,3653,5,
Victor Mature,Victor John Mature,0.8,0,4058,5,
Canada,Canada,1.0,1,6902,9,
Keyshia Cole,Keyshia Cole,1.0,1,4345,5,
Peter O'Meara is the actor who portrayed the character 1st Lt. Norman Dike in the HBO miniseries *Band of Brothers*.,Band of Brothers,0.2608695652173913,0,4143,5,
Train to Busan,Train to Busan,1.0,1,3883,5,
,rock band,0.0,0,4584,6,Executor failed: APITimeoutError: Request timed out.
,CEO of Lionsgate UK & Europe,0.0,0,2014,2,Executor failed: APITimeoutError: Request timed out.
Swoosie Kurtz,Swoosie Kurtz,1.0,1,6751,9,
,Great Britain,0.0,0,11170,9,Planner call failed: APITimeoutError: Request timed out.
"Yeon Woo-jin, born on July 5, 1984","July 5, 1984",0.6,0,7948,9,
Turkey,Turkey,1.0,1,6979,9,
300,300,1.0,1,3953,5,
"2,586","2,586",1.0,1,7925,10,
English,English,1.0,1,3715,5,
Imi Lichtenfeld,"Emrich ""Imi"" Lichtenfeld",0.8,0,9199,9,
Lord Black of Crossharbour,Lord Black of Crossharbour,1.0,1,3497,5,
Hong Kong,Hong Kong,1.0,1,5643,6,
Danny Manning,Danny Manning,1.0,1,5373,6,
BUST,BUST,1.0,1,3684,5,
Alternative rock,rock,0.6666666666666666,0,16852,19,
Sarah J. Maas,Sarah Janet Maas,0.6666666666666666,0,3485,5,
Gorillaz,alternative rock virtual band Gorillaz,0.33333333333333337,0,3736,5,
Rock,rock,1.0,1,9521,11,
"Tsim Sha Tsui, Hong Kong","Tsim Sha Tsui, Hong Kong",1.0,1,6884,9,
Massachusetts,Massachusetts,1.0,1,3608,5,
beetle,beetle,1.0,1,11481,13,
Cataloochee Valley,Cataloochee,0.6666666666666666,0,10419,11,
NBC 10,NBC 10,1.0,1,3812,5,
Playwright,playwright,1.0,1,6959,9,
China,China,1.0,1,5958,9,
The Raconteurs,The Raconteurs,1.0,1,5946,9,
Cooking Light,Cooking Light,1.0,1,3610,5,
Radiohead,Radiohead,1.0,1,881,1,
Opera,opera,1.0,1,6692,9,
Lyudmila Petrushevskaya,Lyudmila Stefanovna Petrushevskaya,0.8,0,3571,5,
Yes,yes,1.0,1,6502,9,
Donington,"Donington, Lincolnshire",0.6666666666666666,0,3846,5,
ESPN,ESPN,1.0,1,9743,13,
Amelia Earhart,Amelia Earhart,1.0,1,5031,6,
England,England,1.0,1,1256,1,
Germany,Germany,1.0,1,4767,6,
George Frideric Handel,George Frideric Handel,1.0,1,3772,5,
Valley View Casino Center,Valley View Casino Center,1.0,1,3891,5,
Paul McCartney,Paul McCartney,1.0,1,4076,5,
,refers to different weight classes,0.0,0,23490,22,Planner call failed: APITimeoutError: Request timed out.
Love/Hate,Love/Hate,1.0,1,4183,5,
,Scott Joplin,0.0,0,14543,9,Planner call failed: APITimeoutError: Request timed out.
Ram Charan,Ram Charan,1.0,1,4068,5,
"September 29, 1784","September 29, 1784",1.0,1,6856,9,
2,two,0.0,0,7681,10,
"June 25, 1961",25 June 1961,1.0,0,3496,5,
field hockey,2012 Summer Olympics,0.0,0,6681,9,
The Ladykillers,The Ladykillers,1.0,1,3981,5,
authors,is a British author,0.0,0,6855,9,
Born to Run,Born to Run,1.0,1,7389,9,
England,England,1.0,1,3695,5,
Mar-a-Lago,Mar-a-Lago,1.0,1,4631,5,
singer-songwriter,lead singer,0.0,0,6580,9,
Dick Van Patten,Richard Vincent Van Patten,0.5714285714285715,0,7090,9,
Vancouver Canucks,Vancouver Canucks,1.0,1,3361,5,
"No, only Roberto Bolaño is Chilean; Yukio Mishima is Japanese.",no,0.18181818181818182,0,6677,9,
I Will Always Love You,I Will Always Love You,1.0,1,5390,6,
Adelphi Theatre,Adelphi Theatre,1.0,1,9640,10,
Steyr Mannlicher,Steyr Mannlicher,1.0,1,4502,6,
Country music,country,0.6666666666666666,0,4121,5,
Film director,film director,1.0,1,6353,9,
Warrington,Cheshire,0.0,0,6799,9,
