prediction,reference,f1,em,tokens_used,num_api_calls,error
Arthur's Magazine,Arthur's Magazine,1.0,1,3589,4,
Delhi,Delhi,1.0,1,3011,4,
American,American,1.0,1,7239,4,
Ethyl alcohol (or ethanol),alcohol,0.4,0,5512,5,
Jonathan Stark,Jonathan Stark,1.0,1,3556,4,
2006,2006,1.0,1,3444,4,
El-P,Jaime Meline,0.0,0,3380,4,
Walter Coy,Walter Darwin Coy,0.8,0,5458,4,
"The form of music played by Die Rhöner Säuwäntzt, which is Skiffle-Blues, originated in the **United States** (specifically, the term Skiffle originated there in the first half of the 20th century).",United States,0.12121212121212122,0,4775,5,
2006,2006,1.0,1,5493,5,
Fox,Fox,1.0,1,4355,5,
California,Hawaii,0.0,0,3323,4,
The Wolfhounds,The Wolfhounds,1.0,1,4122,4,
"The female main protagonist of *Catching Fire*, Katniss Everdeen, is **16** years old.",16-year-old,0.0,0,8212,5,
"Chang Ucchin was born during the period of **Korea under Japanese rule**, which ended with the conclusion of **World War II**.",World War II,0.25,0,4965,5,
"No, they were not known for the same type of work. Leonid Levin is a computer scientist, whereas Pavel Urysohn was a mathematician best known for his contributions to topology and dimension theory.",no,0.05882352941176471,0,3701,4,
"Yes, both *Jane* and *First for Women* are women's magazines.",yes,0.18181818181818182,0,3759,4,
Film director,director,0.6666666666666666,0,3574,4,
"Roseau, Minnesota, USA","Roseau, Minnesota, USA",1.0,1,4011,5,
The Saimaa Gesture,The Saimaa Gesture,1.0,1,3333,4,
David Lee Roth,David Lee Roth,1.0,1,3325,4,
Nassau County,Nassau County,1.0,1,4062,5,
Dessau,Dessau,1.0,1,4577,5,
"The song is ""I Still Haven't Found What I'm Looking For,"" and it was from the band's self-titled debut album, ***The Chimes*** (1990).",The Joshua Tree,0.07692307692307691,0,5438,5,
Tammy Wynette,Tammy Wynette,1.0,1,4571,4,
"No, only the Paloma is based on tequila; the Gin and tonic is based on gin.",no,0.11764705882352941,0,4201,5,
Kato,Kato,1.0,1,3877,4,
The Province of Buenos Aires,Province of Buenos Aires,0.888888888888889,0,4202,4,
,1932,0.0,0,0,0,Critic failed: APITimeoutError: APITimeoutError('Request timed out.')
"The song written and composed by Donna Weiss and Jackie DeShannon is ""Bette Davis Eyes,"" which spent **nine** weeks at No. 1 on the ""Billboard"" Hot 100.",nine,0.07142857142857142,0,5248,4,
"The man who officially opened the Royal Spa Centre in 1972 was Anthony Eden, who was a member of the **Conservative Party**.",Conservative,0.08695652173913045,0,4955,5,
Salaam Bombay,Salaam Bombay,1.0,1,7907,5,
Yes,yes,1.0,1,4386,5,
Zooey Deschanel,Zooey Deschanel,1.0,1,5095,4,
15,15,1.0,1,4356,4,
Filmmaker,filmmaker,1.0,1,13118,9,
Golf Magazine,Golf Magazine,1.0,1,4366,4,
Mr. Burns,Mr. Burns,1.0,1,4557,5,
"Washington, D.C.","Washington, D.C.",1.0,1,3391,4,
Christopher Hitchens,Christopher Hitchens,1.0,1,5026,5,
,R Adams Cowley,0.0,0,8421,5,Actor failed: APITimeoutError: Request timed out.
Dennis Publishing,Dennis Publishing,1.0,1,3434,4,
Garth Brooks,Garth Brooks,1.0,1,4364,4,
,Dirt,0.0,0,1488,1,Actor failed: APITimeoutError: Request timed out.
The Fantastic The,The Fantastic The,1.0,1,4799,4,
1988,1988,1.0,1,4777,5,
"722,664","722,664",1.0,1,4398,5,
Max Gail,Max Gail,1.0,1,4920,5,
"Yes, both Pam Veasey and Jon Jost are American.",yes,0.19999999999999998,0,3195,4,
Gillette Stadium,Gillette Stadium,1.0,1,3318,4,
Fu Manchu,Fu Manchu,1.0,1,3658,4,
Lullwater Estate,Lullwater Estate,1.0,1,7102,4,
