prediction,reference,f1,em,tokens_used,num_api_calls,error
Richard Nixon,President Richard Nixon,0.8,0,3795,5,
Indogrammodes,Crambidae,0.0,0,10708,9,
6.213 km,6.213 km long,0.8,0,7116,9,
U.S. Highway 60,US 60,0.8,0,5971,6,
Todd Phillips,Todd Phillips,1.0,1,8503,10,
"No, The New Pornographers are a Canadian indie rock band, while Kings of Leon are an American rock band.",no,0.1,0,3578,5,
Aleksander Ford,Aleksander Ford,1.0,1,6120,9,
Ulster County,Ulster County,1.0,1,6645,9,
Francis Nethersole,Sir Francis Nethersole,0.8,0,6408,9,
The ingredients in beer,ingredients in beer,0.8571428571428571,0,10592,10,
Glenn Hughes,Glenn Hughes,1.0,1,6337,9,
1941,"March 28, 1941",0.5,0,6408,9,
standard gauge track,standard gauge track,1.0,1,9070,9,
Saint Motel,Saint Motel,1.0,1,6315,9,
,dancer Gregory Hines,0.0,0,9517,11,Executor failed: APITimeoutError: Request timed out.
Yes,yes,1.0,1,9572,10,
Hawaii,Hawaii,1.0,1,6517,9,
Academy of Motion Picture Arts and Sciences,Academy of Motion Picture Arts and Sciences,1.0,1,3787,5,
The Doughnut in the suburbs of Cheltenham,Cheltenham,0.25,0,21303,21,
10 Rillington Place,10 Rillington Place,1.0,1,6785,9,
Synth-pop,synth-pop,1.0,1,10937,9,
Roger Christian,Roger Christian,1.0,1,9900,11,
Herbaceous perennial,plant,0.0,0,7372,9,
375 miles,375 mi long,0.4,0,6293,9,
Craig Newmark,Craig Newmark,1.0,1,6641,9,
1963 Pan American Games,Pan American Games,0.8571428571428571,0,3743,5,
Cognizant,Cognizant,1.0,1,6405,9,
Presque Isle State Park,Presque Isle,0.6666666666666666,0,4758,5,
,Select Security Stadium,0.0,0,21828,21,Executor failed: APITimeoutError: Request timed out.
Isabelle Mergault,Isabelle Mergault,1.0,1,13480,15,
0.9 seconds,0.9 s.,0.5,0,10893,11,
Halestorm,Halestorm,1.0,1,3556,5,
"2,523","2,523",1.0,1,6927,9,
,"Albuquerque, New Mexico",0.0,0,1421,2,Executor failed: APITimeoutError: Request timed out.
Millard Fillmore,Millard Fillmore,1.0,1,6989,9,
Rihanna,Rihanna,1.0,1,7133,9,
Jack Kevorkian,"Jacob ""Jack"" Kevorkian",0.8,0,4233,5,
Magazine,magazine,1.0,1,6375,9,
,DC Comics,0.0,0,28288,26,Planner call failed: APITimeoutError: Request timed out.
Hannibal Lecter,Hannibal Lecter,1.0,1,3452,5,
Mark L. Lester,Mark L. Lester,1.0,1,3492,5,
Dairy products,dairy products,1.0,1,6566,9,
85,85,1.0,1,6389,9,
Jeff Green,Jeffrey Lynn Green,0.4,0,6915,9,
Yes,yes,1.0,1,9539,13,
Johannesburg,Johannesburg,1.0,1,3400,5,
Big Data,Big Data,1.0,1,5087,6,
1960,1960,1.0,1,7591,9,
,Hillary Rodham Clinton,0.0,0,27380,29,Maximum planner steps reached before final answer.
Doctor Who,Doctor Who,1.0,1,11319,9,
Victorian era,Victorian era,1.0,1,6942,9,
Nokia Theatre,Nokia Theatre,1.0,1,7056,9,
Attack on Pearl Harbor,attack on Pearl Harbor,1.0,1,5382,5,
"October 1, 2017",October 1st,0.4,0,9455,10,
,Vestfold,0.0,0,1501,2,Executor failed: APITimeoutError: Request timed out.
Josh Jackson,Josh Jackson,1.0,1,6822,9,
Cosmicomics,"""Cosmicomics""",1.0,1,6855,9,
American,American,1.0,1,6407,9,
England–Germany football rivalry,England and West Germany,0.0,0,3937,5,
Emilia-Romagna,northern Italian region,0.0,0,4220,5,
14 November 1889,14 November 1889,1.0,1,6678,9,
Approximately 1 million,1 million,0.8,0,7591,9,
Rashtriya Swayamsevak Sangh,the Hindu nationalist Rashtriya Swayamsevak Sangh,0.6666666666666666,0,6659,9,
New York State Route 337,I-90,0.0,0,7836,5,
The Enrollment Act,Conscription in the United States,0.25,0,33139,29,
Ford Fusion,Ford Fusion,1.0,1,8206,9,
1880,1880,1.0,1,6293,9,
Bart Conner,Bart Conner,1.0,1,7729,10,
Advanced Micro Devices,Advanced Micro Devices,1.0,1,6331,9,
Stacey Kent,Stacey Kent,1.0,1,7319,10,
,Barton Mine,0.0,0,29736,29,Maximum planner steps reached before final answer.
"3,544","3,544",1.0,1,6541,9,
Yes,yes,1.0,1,6141,9,
former professional tennis players,former tennis player,0.5714285714285715,0,6706,9,
Elyes Gabel,Elyes Gabel,1.0,1,12846,14,
Singing and acting,"singer-songwriter, actor",0.0,0,6813,9,
